Stimulus,Group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Observation,
Eagle canopy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,,
Eagle canopy,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,S,S,S,S,S,S,S,S,S,S,S,,
Eagle canopy,M,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,
Eagle canopy,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,
Eagle canopy,R,A,A,A,A,A,A,A,A,A,O,O,A,O,A,A,A,A,A,O,A,A,A,A,A,A,A,A,A,A,A,,
Eagle ground,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,C,C,C,B,B,,
Eagle ground,D,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle ground,D,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,,
Eagle ground,M*,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,* Response from the first animal (adult male),
Eagle ground,M*,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,A,A,A,A,B,B,B,B,B,A,B,* Response from the second animal (adult female),
Eagle ground,P,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,C,A,A,A,B,B,B,B,B,,
Eagle ground,R,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,A,A,A,B,B,,
Oncilla ground,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,
Oncilla ground,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,
Oncilla ground,M,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,
Oncilla ground,P ,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,
Oncilla ground,R,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,
Oncilla canopy,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,
Oncilla canopy,D,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,
Oncilla canopy,M,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,
Oncilla canopy,P,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,
Oncilla canopy,R,A,A,A,B,B,A,A,A,A,B,B,B,A,A,A,A,B,B,B,A,A,B,A,A,A,B,A,A,B,B,,
Oncilla canopy,B/R,,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
